label,benchmark,pass@1,pass@5,maj@5,prm@5,F1,correct,error,avg_tokens,elapsed_sec,mtime_iso
ref_qwen25_7b_instruct_B,gsm8k,0.9128,0.9507,0.9113,0.9128,,1204,115,377.0,10270.7,2026-05-14T08:41:31
ref_qwen25_7b_instruct_B,math500,0.654,0.73,0.646,0.654,,327,173,884.7,8663.0,2026-05-14T16:57:41
ref_qwen25_7b_instruct_B,aime2024,0.1667,0.3,0.2,0.1667,,5,25,1378.2,1508.0,2026-05-14T17:23:37
ref_qwen25_math_7b_instruct_B,gsm8k,0.9545,0.9712,0.956,0.9545,,1259,60,425.9,11154.4,2026-05-14T17:41:26
sft_qwen35_9b_B,gsm8k,0.9196,0.9765,0.9333,0.9113,,1213,106,644.1,34349.8,2026-05-14T15:33:32
