Model,Params,Avg. F1,GSM8K,,,,,,,,MATH-500,,,,,,,,OlympiadBench,,,,,,,,Omni-MATH,,,,,,,,AIME 2024,,,,,,,,AIME 2025,,,,,,,,CNMO 2024,,,,,,,,MMLU,,,,,,,,GPQA-D,,,,,,,
,,,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens
+ GRPO (TopoPRM gated v3),9B,41.7,82,1237,93.8,93.8,98.0,94.6,92.2,1006,246,254,50.8,50.8,59.8,55.2,50.8,1514,90,44,32.8,32.8,47.0,35.8,32.8,2491,152,110,42.0,42.0,53.8,47.3,42.0,2463,24,6,20.0,20.0,30.0,23.3,20.0,2560,78,12,13.3,13.3,17.8,12.2,13.3,2560,24,6,20.0,20.0,30.0,26.7,20.0,2560,584,916,61.1,61.1,83.1,61.2,60.9,508,-,-,-,-,-,-,-,-
+ GRPO (outcome-only),9B,45.7,154,1165,100.0,88.3,0.0,0.0,88.3,287,228,272,100.0,54.4,0.0,0.0,54.4,2021,92,42,31.3,31.3,46.3,37.3,31.3,2042,153,109,41.6,41.6,55.3,48.9,41.6,1845,25,5,16.7,16.7,33.3,20.0,16.7,2545,78,12,13.3,13.3,15.6,8.9,13.3,2546,25,5,16.7,16.7,33.3,26.7,16.7,2530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (w/o topology),9B,48.8,149,1170,100.0,88.7,0.0,0.0,88.7,305,229,271,100.0,54.2,0.0,0.0,54.2,2034,94,40,29.8,29.8,50.7,38.1,29.8,2467,151,111,42.4,42.4,54.2,45.8,42.0,2430,24,6,20.0,20.0,40.0,30.0,20.0,2560,79,11,12.2,12.2,16.7,10.0,12.2,2560,24,6,20.0,20.0,40.0,26.7,20.0,2560,171,329,65.8,65.8,85.0,63.0,65.4,512,-,-,-,-,-,-,-,-
+ GRPO (w/o continuity),9B,32.2,120,1199,100.0,90.9,0.0,0.0,90.9,1006,225,275,100.0,55.0,0.0,0.0,55.0,2048,123,11,8.2,8.2,25.4,9.0,7.5,2560,223,39,14.9,14.9,30.5,17.6,14.1,2560,28,2,6.7,6.7,13.3,3.3,6.7,2560,89,1,1.1,1.1,4.4,0.0,1.1,2560,28,2,6.7,6.7,20.0,3.3,6.7,2560,399,101,20.2,20.2,34.8,18.6,20.0,512,-,-,-,-,-,-,-,-
Qwen2.5-7B (base),7B,100.0,209,1110,100.0,84.2,0.0,0.0,84.2,1917,224,276,100.0,55.2,0.0,0.0,55.2,1846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ TopoPRM (Qwen2.5-7B),7B,100.0,214,1105,100.0,83.8,0.0,0.0,83.8,1752,306,194,100.0,38.8,0.0,0.0,38.8,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ TopoPRM (Qwen2.5-7B v3),7B,31.8,173,1146,86.9,86.9,95.8,89.2,85.9,230,287,213,42.6,42.6,54.4,47.0,43.0,461,107,27,20.2,20.2,36.6,23.1,20.2,620,181,81,30.9,30.9,44.7,33.6,32.4,566,28,2,6.7,6.7,10.0,6.7,6.7,770,83,7,7.8,7.8,10.0,6.7,7.8,697,28,2,6.7,6.7,10.0,6.7,10.0,711,557,943,62.9,62.9,82.7,64.8,63.4,322,155,43,21.7,21.7,51.0,23.2,26.3,512
"Student (8B, RKL legacy)",8B,100.0,250,1069,100.0,81.0,0.0,0.0,81.0,2048,273,227,100.0,45.4,0.0,0.0,45.4,2048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Qwen3.5-4B (base, v3)",4B,21.4,785,534,40.5,40.5,81.7,40.5,40.5,1536,-,-,-,-,-,-,-,-,121,13,9.7,9.7,26.9,11.2,9.7,2560,225,37,14.1,14.1,36.3,16.8,14.1,2560,30,0,0.0,0.0,3.3,0.0,0.0,2560,90,0,0.0,0.0,2.2,0.0,0.0,2560,30,0,0.0,0.0,6.7,0.0,0.0,2560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Student (Qwen3.5-4B, SFT distill v3)",4B,31.0,125,1194,90.5,90.5,96.1,91.0,90.1,1377,309,191,38.2,38.2,52.8,43.8,38.2,1534,105,29,21.6,21.6,34.3,27.6,21.6,2560,172,90,34.4,34.4,47.7,39.3,34.4,2541,28,2,6.7,6.7,13.3,6.7,6.7,2560,84,6,6.7,6.7,13.3,8.9,6.7,2560,28,2,6.7,6.7,20.0,10.0,6.7,2560,285,215,43.0,43.0,60.6,39.0,43.0,512,-,-,-,-,-,-,-,-
